customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating
151,1001,408,2024-01-01,Sports,2.3
192,1002,332,2024-01-02,Electronics,4.2
114,1003,442,2024-01-03,Electronics,2.1
171,1004,256,2024-01-04,Clothing,2.8
160,1005,64,2024-01-05,Clothing,1.3
120,1006,395,2024-01-06,Groceries,1.1
182,1007,91,2024-01-07,Sports,4.9
186,1008,429,2024-01-08,Clothing,4.3
174,1009,228,2024-01-09,Electronics,3.8
174,1010,112,2024-01-10,Sports,2.6
187,1011,401,2024-01-11,Sports,1.7
199,1012,280,2024-01-12,Electronics,1.6
123,1013,290,2024-01-13,Clothing,2
102,1014,101,2024-01-14,Electronics,3.2
121,1015,145,2024-01-15,Sports,3.9
152,1016,437,2024-01-16,Books,3.6
101,1017,271,2024-01-17,Books,2.1
187,1018,456,2024-01-18,Groceries,4.8
129,1019,280,2024-01-19,Electronics,4
137,1020,286,2024-01-20,Electronics,3.2
101,1021,192,2024-01-21,Groceries,3.4
163,1022,220,2024-01-22,Groceries,2.7
159,1023,78,2024-01-23,Groceries,2
120,1024,85,2024-01-24,Sports,2.4
132,1025,62,2024-01-25,Electronics,4
175,1026,209,2024-01-26,Sports,1.1
157,1027,376,2024-01-27,Groceries,1.5
121,1028,236,2024-01-28,Electronics,1.2
188,1029,292,2024-01-29,Sports,1.2
148,1030,135,2024-01-30,Sports,4.4
190,1031,333,2024-01-31,Groceries,3.8
158,1032,115,2024-02-01,Electronics,2.9
141,1033,219,2024-02-02,Groceries,1.4
191,1034,94,2024-02-03,Electronics,3
159,1035,111,2024-02-04,Books,2.9
179,1036,490,2024-02-05,Clothing,1.7
114,1037,183,2024-02-06,Clothing,2.7
161,1038,333,2024-02-07,Clothing,2.6
161,1039,77,2024-02-08,Groceries,
146,1040,157,2024-02-09,Books,3.5
161,1041,93,2024-02-10,Electronics,1.2
150,1042,389,2024-02-11,Sports,
154,1043,335,2024-02-12,Electronics,
163,1044,495,2024-02-13,Sports,3
102,1045,380,2024-02-14,Electronics,4.4
150,1046,177,2024-02-15,Books,3.6
106,1047,397,2024-02-16,Sports,1.7
120,1048,280,2024-02-17,Groceries,1.3
172,1049,239,2024-02-18,Electronics,3.6
138,1050,274,2024-02-19,Electronics,1.1
117,1051,434,2024-02-20,Sports,3.3
103,1052,426,2024-02-21,Groceries,4.8
188,1053,332,2024-02-22,Groceries,3.3
159,1054,495,2024-02-23,Books,2.6
113,1055,170,2024-02-24,Groceries,3.6
108,1056,165,2024-02-25,Groceries,2.8
189,1057,282,2024-02-26,Groceries,3.2
152,1058,308,2024-02-27,Clothing,4.8
101,1059,408,2024-02-28,Books,2.5
183,1060,247,2024-02-29,Electronics,4.8
191,1061,460,2024-03-01,Sports,4.6
159,1062,186,2024-03-02,Electronics,1.8
170,1063,367,2024-03-03,Books,1.3
143,1064,214,2024-03-04,Sports,1.4
107,1065,274,2024-03-05,Books,1.1
146,1066,356,2024-03-06,Groceries,1.4
134,1067,283,2024-03-07,Sports,3.7
177,1068,221,2024-03-08,Groceries,1.3
180,1069,201,2024-03-09,Electronics,2.3
135,1070,364,2024-03-10,Electronics,
149,1071,423,2024-03-11,Sports,1.1
103,1072,209,2024-03-12,Sports,4.3
101,1073,145,2024-03-13,Books,2.1
105,1074,282,2024-03-14,Books,1.5
153,1075,229,2024-03-15,Groceries,3.8
103,1076,162,2024-03-16,Sports,3.5
153,1077,367,2024-03-17,Electronics,4.5
192,1078,491,2024-03-18,Books,3.9
162,1079,101,2024-03-19,Books,4.2
117,1080,317,2024-03-20,Electronics,2.1
189,1081,344,2024-03-21,Books,
143,1082,435,2024-03-22,Groceries,4
133,1083,436,2024-03-23,Sports,4.2
173,1084,162,2024-03-24,Electronics,5
161,1085,150,2024-03-25,Sports,2.7
199,1086,162,2024-03-26,Books,2.5
113,1087,489,2024-03-27,Books,4.1
194,1088,130,2024-03-28,Electronics,2.4
147,1089,236,2024-03-29,Groceries,
114,1090,162,2024-03-30,Clothing,4.4
171,1091,51,2024-03-31,Electronics,2.7
177,1092,179,2024-04-01,Clothing,4
186,1093,269,2024-04-02,Clothing,4
161,1094,103,2024-04-03,Groceries,1.4
139,1095,392,2024-04-04,Clothing,4.6
184,1096,273,2024-04-05,Clothing,3
179,1097,274,2024-04-06,Groceries,4.3
181,1098,434,2024-04-07,Clothing,
152,1099,452,2024-04-08,Clothing,4.6
123,1100,175,2024-04-09,Clothing,2.6
125,1101,179,2024-04-10,Electronics,
188,1102,102,2024-04-11,Electronics,4.6
159,1103,221,2024-04-12,Electronics,1.4
140,1104,267,2024-04-13,Groceries,2.3
128,1105,209,2024-04-14,Books,4.8
114,1106,247,2024-04-15,Clothing,4.8
144,1107,465,2024-04-16,Clothing,3.3
164,1108,296,2024-04-17,Groceries,3.5
188,1109,373,2024-04-18,Clothing,2.8
170,1110,488,2024-04-19,Electronics,
108,1111,252,2024-04-20,Books,2.3
187,1112,233,2024-04-21,Sports,3.7
100,1113,172,2024-04-22,Clothing,4
107,1114,450,2024-04-23,Electronics,4.2
187,1115,304,2024-04-24,Sports,4.2
162,1116,343,2024-04-25,Books,1.4
110,1117,329,2024-04-26,Sports,3
180,1118,374,2024-04-27,Electronics,1.2
107,1119,421,2024-04-28,Sports,3.2
134,1120,147,2024-04-29,Groceries,2.8
134,1121,247,2024-04-30,Sports,4.6
132,1122,444,2024-05-01,Clothing,2.4
104,1123,289,2024-05-02,Clothing,1.5
140,1124,193,2024-05-03,Groceries,1.6
127,1125,146,2024-05-04,Electronics,4
106,1126,250,2024-05-05,Clothing,3.5
172,1127,173,2024-05-06,Books,1.4
171,1128,236,2024-05-07,Clothing,1.3
111,1129,375,2024-05-08,Clothing,3.8
133,1130,398,2024-05-09,Electronics,1.3
132,1131,308,2024-05-10,Sports,4.3
147,1132,197,2024-05-11,Clothing,3.8
122,1133,301,2024-05-12,Groceries,1.3
161,1134,492,2024-05-13,Sports,1.3
187,1135,469,2024-05-14,Books,4.9
136,1136,452,2024-05-15,Electronics,2.5
198,1137,395,2024-05-16,Books,2.5
143,1138,196,2024-05-17,Sports,4.3
185,1139,197,2024-05-18,Sports,4.8
190,1140,401,2024-05-19,Sports,4.9
134,1141,248,2024-05-20,Books,4
164,1142,357,2024-05-21,Sports,2.5
198,1143,466,2024-05-22,Books,
146,1144,473,2024-05-23,Sports,4.1
177,1145,177,2024-05-24,Groceries,3.2
102,1146,88,2024-05-25,Sports,2.7
100,1147,387,2024-05-26,Books,4.6
104,1148,409,2024-05-27,Clothing,1.4
189,1149,178,2024-05-28,Sports,3
113,1150,316,2024-05-29,Clothing,1