member,audio_file,augmentation,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_min_0,mfcc_min_1,mfcc_min_2,mfcc_min_3,mfcc_min_4,mfcc_min_5,mfcc_min_6,mfcc_min_7,mfcc_min_8,mfcc_min_9,mfcc_min_10,mfcc_min_11,mfcc_min_12,mfcc_max_0,mfcc_max_1,mfcc_max_2,mfcc_max_3,mfcc_max_4,mfcc_max_5,mfcc_max_6,mfcc_max_7,mfcc_max_8,mfcc_max_9,mfcc_max_10,mfcc_max_11,mfcc_max_12,spectral_rolloff_mean_0,spectral_rolloff_std_0,spectral_rolloff_min_0,spectral_rolloff_max_0,energy_mean_0,energy_std_0,energy_min_0,energy_max_0,zero_crossing_rate_mean_0,zero_crossing_rate_std_0,zero_crossing_rate_min_0,zero_crossing_rate_max_0,spectral_centroid_mean_0,spectral_centroid_std_0,spectral_centroid_min_0,spectral_centroid_max_0,spectral_bandwidth_mean_0,spectral_bandwidth_std_0,spectral_bandwidth_min_0,spectral_bandwidth_max_0,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_min_0,chroma_min_1,chroma_min_2,chroma_min_3,chroma_min_4,chroma_min_5,chroma_min_6,chroma_min_7,chroma_min_8,chroma_min_9,chroma_min_10,chroma_min_11,chroma_max_0,chroma_max_1,chroma_max_2,chroma_max_3,chroma_max_4,chroma_max_5,chroma_max_6,chroma_max_7,chroma_max_8,chroma_max_9,chroma_max_10,chroma_max_11,duration,sample_rate
damour,audio_da1,original,-472.7903137207031,117.52068328857422,35.1114501953125,13.942045211791992,4.573158264160156,1.8088715076446533,-5.69497537612915,-3.779649496078491,-5.668363571166992,-4.638812065124512,-4.749837398529053,-2.1304893493652344,-2.9991464614868164,108.08719635009766,45.78510665893555,22.992155075073242,17.4754638671875,13.078478813171387,11.333427429199219,13.21412467956543,8.208237648010254,9.479460716247559,5.784498691558838,10.040757179260254,8.9808931350708,6.552088260650635,-655.7279052734375,0.0,-55.44044876098633,-20.26555061340332,-37.71539306640625,-39.363407135009766,-45.94322204589844,-28.294841766357422,-40.526580810546875,-18.14762306213379,-39.3647575378418,-27.619834899902344,-24.863794326782227,-223.28469848632812,223.66366577148438,80.76953887939453,76.50936126708984,32.75491714477539,22.881793975830078,15.946040153503418,11.708282470703125,8.370307922363281,6.935271263122559,10.568031311035156,17.69368553161621,6.837210655212402,3598.505859375,2220.3174712026785,516.796875,9528.4423828125,0.014573466964066029,0.023303387686610222,1.5170863662206102e-05,0.10273995250463486,0.05575706845238095,0.03791217415461916,0.0,0.21044921875,1632.0472253636613,900.1381524911249,526.6799449552249,5030.98186122013,2247.478974937895,700.7397233544366,846.7525594152326,3856.924203317197,0.4747851490974426,0.4726167619228363,0.4365117847919464,0.404354065656662,0.36581626534461975,0.36963891983032227,0.5001266598701477,0.557125985622406,0.46164873242378235,0.4522368311882019,0.5028294920921326,0.48963233828544617,0.3211008608341217,0.31818002462387085,0.3050958514213562,0.32482659816741943,0.29193374514579773,0.25969356298446655,0.30068710446357727,0.3679097294807434,0.300667941570282,0.32611435651779175,0.3149435818195343,0.27060070633888245,0.009984420612454414,0.013279427774250507,0.0041454024612903595,0.008583871647715569,0.006601986475288868,0.013093888759613037,0.007977943867444992,0.013256720267236233,0.012670516036450863,0.022587940096855164,0.006957941688597202,0.00930220726877451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.432018140589569,22050.0
damour,audio_da1,pitch_shift_up,-500.3559265136719,119.92871856689453,30.294065475463867,9.936376571655273,3.1098804473876953,-1.011333703994751,-7.735586166381836,-4.726770401000977,-6.62194299697876,-5.112933158874512,-3.6891868114471436,-1.3470138311386108,-1.111694574356079,111.0973129272461,43.3549690246582,21.816936492919922,18.859580993652344,12.797857284545898,13.870535850524902,13.64770221710205,8.078389167785645,7.508301734924316,7.340070724487305,11.384479522705078,5.842284679412842,4.985690116882324,-692.5621948242188,2.3110477924346924,-43.082767486572266,-22.76085090637207,-35.666961669921875,-52.46147918701172,-41.92393112182617,-28.150226593017578,-31.21387481689453,-23.924880981445312,-44.641021728515625,-16.293682098388672,-12.333581924438477,-239.2899169921875,223.86029052734375,74.50032043457031,68.50108337402344,29.468555450439453,20.581520080566406,14.775806427001953,14.635839462280273,5.588253021240234,10.386943817138672,13.002553939819336,12.903255462646484,10.368524551391602,3478.125,2133.2130548972186,613.6962890625,9097.7783203125,0.010265429504215717,0.01608731970191002,0.00012788872118107975,0.07374462485313416,0.05422247023809524,0.0386373805332819,0.0,0.1708984375,1594.6405475403249,802.1876271113882,592.8384503590312,4394.112978367022,2219.8231636729174,676.9729012726765,904.8750455880541,3867.139147443142,0.4470665752887726,0.4739327132701874,0.4434660077095032,0.4795878231525421,0.3797423839569092,0.34096062183380127,0.3427557051181793,0.33433032035827637,0.4489935636520386,0.5415956974029541,0.48202502727508545,0.42229506373405457,0.3081117570400238,0.26881861686706543,0.30286329984664917,0.3455936908721924,0.27425774931907654,0.2897876799106598,0.2922741174697876,0.2478664517402649,0.2909829616546631,0.3663276135921478,0.31898239254951477,0.32752782106399536,0.008091287687420845,0.013425934128463268,0.01185075007379055,0.008782519027590752,0.008378894068300724,0.010539247654378414,0.010075148195028305,0.015885550528764725,0.011457723565399647,0.013548131100833416,0.017437171190977097,0.011168481782078743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.432018140589569,22050.0
damour,audio_da1,pitch_shift_down,-514.5646362304688,121.79217529296875,34.43162155151367,20.549638748168945,4.346860408782959,8.419610023498535,-5.534846305847168,-0.23081612586975098,-6.350398540496826,-1.9746949672698975,-7.879247665405273,-1.2240140438079834,-5.721665382385254,106.68666076660156,45.30237579345703,19.988021850585938,14.816311836242676,14.621599197387695,11.241694450378418,15.067558288574219,7.050727844238281,13.490483283996582,4.861110210418701,8.231612205505371,11.023624420166016,10.47906494140625,-704.47998046875,0.0,-36.472686767578125,-5.215948104858398,-25.386306762695312,-17.164691925048828,-46.26480484008789,-14.97236442565918,-47.8184928894043,-10.758455276489258,-27.742462158203125,-34.75670623779297,-33.305213928222656,-259.9982604980469,221.52377319335938,80.95724487304688,73.50517272949219,32.48615264892578,40.640846252441406,18.254684448242188,13.84472370147705,10.96221923828125,12.246484756469727,6.5225067138671875,15.984259605407715,13.507833480834961,3026.6455078125,1961.4019565539843,462.9638671875,8430.2490234375,0.009699162095785141,0.01523516420274973,1.6083216905826703e-05,0.07275013625621796,0.05213448660714286,0.04980975958316744,0.0009765625,0.26513671875,1393.5835726802839,792.3575922540388,470.2262563050172,4595.055887701821,1957.9339469668948,605.916635992133,809.6788030880897,3387.1288003965897,0.43901327252388,0.401003360748291,0.36529794335365295,0.34865739941596985,0.4456615149974823,0.5080756545066833,0.43862369656562805,0.43761858344078064,0.5186010599136353,0.5221648216247559,0.4392625689506531,0.4705732762813568,0.2997998595237732,0.3004017472267151,0.28740194439888,0.25848570466041565,0.29505324363708496,0.35812515020370483,0.30856946110725403,0.3286224901676178,0.31844377517700195,0.2752414643764496,0.2707246243953705,0.3296250104904175,0.006247153505682945,0.008078617975115776,0.015398618765175343,0.00984939094632864,0.005343383178114891,0.006615612655878067,0.006439674645662308,0.017756378278136253,0.02309420146048069,0.02184882201254368,0.03105349652469158,0.009166576899588108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.432018140589569,22050.0
damour,audio_da2,original,-452.49114990234375,124.39875793457031,19.745742797851562,8.620333671569824,-6.135909557342529,4.615840435028076,-5.763837814331055,-0.462444931268692,-1.7098195552825928,-3.044581651687622,-1.1179523468017578,1.8668516874313354,0.19097298383712769,112.93135833740234,57.44834899902344,21.948699951171875,20.999958038330078,15.867671966552734,14.124165534973145,12.855201721191406,9.833685874938965,9.288378715515137,7.2622575759887695,7.145379066467285,5.388333797454834,7.221461772918701,-678.8031005859375,0.0,-31.4241943359375,-39.327796936035156,-46.92250061035156,-37.58296585083008,-48.65874099731445,-32.07645797729492,-28.240840911865234,-24.759483337402344,-23.394344329833984,-11.37308120727539,-14.980148315429688,-243.46453857421875,228.02610778808594,88.25885009765625,46.37913513183594,15.640350341796875,32.26688003540039,14.771605491638184,14.665061950683594,21.460777282714844,10.525299072265625,14.898690223693848,18.74969482421875,15.156668663024902,3873.40838231078,2310.714601848197,699.8291015625,8010.3515625,0.019879629835486412,0.024526769295334816,3.772755690079066e-06,0.09839963912963867,0.06695276662844037,0.03386599920892847,0.0009765625,0.18798828125,1754.1394469284344,861.4561583918285,565.7829731906317,3840.6631335303855,2159.166472694287,802.1502635901969,843.6281412253844,3446.2996907386387,0.5922088623046875,0.5228126049041748,0.4051867723464966,0.4021434187889099,0.40509387850761414,0.3892136216163635,0.37286219000816345,0.3939092457294464,0.47403451800346375,0.4400733411312103,0.47296664118766785,0.6566513776779175,0.31589990854263306,0.3448241949081421,0.28157463669776917,0.28216618299484253,0.2870839834213257,0.2814609408378601,0.27331414818763733,0.2858487367630005,0.3166161775588989,0.3010057508945465,0.2770605683326721,0.3068805932998657,0.005096821114420891,0.013307818211615086,0.008232821710407734,0.009938961826264858,0.05188886076211929,0.030480502173304558,0.005612997338175774,0.020527465268969536,0.00997030921280384,0.0035212254151701927,0.006168775726109743,0.006552719045430422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.528027210884354,22050.0
damour,audio_da2,pitch_shift_up,-478.2006530761719,125.97071838378906,15.637497901916504,2.6679251194000244,-5.79016637802124,4.340360641479492,-8.106911659240723,2.4030139446258545,-4.550121307373047,-2.005812168121338,0.74057537317276,1.5336726903915405,-0.07576300203800201,119.87462615966797,51.84534454345703,21.9715633392334,26.037981033325195,16.00718879699707,10.403587341308594,14.193388938903809,9.966943740844727,9.101706504821777,8.826269149780273,7.377455711364746,7.849944591522217,10.927102088928223,-745.3079833984375,7.181511878967285,-44.55400848388672,-51.8408088684082,-48.08795166015625,-25.496763229370117,-47.57110595703125,-28.17218017578125,-25.261531829833984,-20.42675018310547,-21.085132598876953,-17.121902465820312,-21.50420379638672,-270.60736083984375,222.5020294189453,64.03206634521484,45.704139709472656,23.66999053955078,24.050687789916992,14.775907516479492,24.395233154296875,12.225183486938477,16.810108184814453,18.585735321044922,18.9244384765625,19.77001190185547,3744.4067158830276,2230.9943324200704,807.4951171875,7116.7236328125,0.0130630973726511,0.014673535712063313,5.283708014758304e-05,0.058841489255428314,0.0616623064793578,0.0336783927549239,0.001953125,0.177734375,1707.8982278196095,767.2050469669219,632.737769466604,3541.6611216230926,2168.5481408508977,738.6622304849764,888.3144370490439,3177.640168472352,0.5941398739814758,0.6163915991783142,0.5189791917800903,0.4313698410987854,0.4067201614379883,0.40470090508461,0.3556944727897644,0.383497416973114,0.3841927945613861,0.4140767753124237,0.42998167872428894,0.4105488061904907,0.2917940318584442,0.30189505219459534,0.3480779528617859,0.29830169677734375,0.2987648844718933,0.31580182909965515,0.2557241916656494,0.3020102083683014,0.3002474009990692,0.2564491927623749,0.2929731011390686,0.26051849126815796,0.005125477444380522,0.006215841043740511,0.006730782333761454,0.005346055142581463,0.010708293877542019,0.013510523363947868,0.027122637256979942,0.017349332571029663,0.01181475818157196,0.017579738050699234,0.008432620204985142,0.004156668670475483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.528027210884354,22050.0
damour,audio_da2,pitch_shift_down,-494.04669189453125,133.29052734375,18.735950469970703,20.452850341796875,-12.244540214538574,12.21016788482666,-9.635730743408203,2.9500975608825684,-4.406978607177734,2.807492256164551,-7.488389492034912,4.605679512023926,-4.414357662200928,112.39801025390625,54.884422302246094,20.6734676361084,18.622665405273438,17.863529205322266,16.70732307434082,13.835976600646973,9.388891220092773,10.827340126037598,6.671258449554443,9.018651962280273,8.724607467651367,6.550644874572754,-774.3348999023438,0.0,-16.574581146240234,-24.621597290039062,-48.846343994140625,-25.97952651977539,-42.301856994628906,-21.889259338378906,-33.3603630065918,-11.436990737915039,-31.781749725341797,-12.210369110107422,-21.29878807067871,-307.9612731933594,239.13174438476562,67.80880737304688,55.50868225097656,14.399955749511719,56.489585876464844,16.083648681640625,26.970516204833984,19.339675903320312,22.146827697753906,7.293670177459717,25.830604553222656,9.290663719177246,3184.247106149656,1884.2420002768656,602.9296875,6093.896484375,0.012671587988734245,0.013776540756225586,1.0207161722064484e-05,0.04758037254214287,0.05234016628440367,0.026014207774761,0.001953125,0.13427734375,1447.027160669573,645.7447589048666,479.3785625719489,2884.263091852489,1882.1143566353585,637.7240767454468,738.0958186447149,2711.640993467279,0.4265134930610657,0.44427335262298584,0.4148424565792084,0.39404764771461487,0.3772592842578888,0.36289918422698975,0.44242942333221436,0.4145606458187103,0.3925938010215759,0.5629144310951233,0.5517187118530273,0.5248047113418579,0.29938510060310364,0.3250662088394165,0.30000630021095276,0.2795264422893524,0.2685694396495819,0.26687124371528625,0.31309181451797485,0.29597702622413635,0.23725232481956482,0.30271628499031067,0.29522350430488586,0.3522799611091614,0.010699912905693054,0.011209025047719479,0.0081890057772398,0.010030325502157211,0.011660412885248661,0.022468995302915573,0.007168799638748169,0.004888033028692007,0.0017614414682611823,0.005315886344760656,0.008649029769003391,0.010643057525157928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.528027210884354,22050.0
denise,audio_de1,original,-406.369140625,97.857421875,27.02170753479004,5.202038764953613,7.89710807800293,2.7629780769348145,3.440164089202881,6.763139247894287,-11.21955394744873,3.08784556388855,1.3088767528533936,-1.866683840751648,1.6689997911453247,114.61893463134766,42.15925979614258,34.559364318847656,25.443204879760742,11.88817310333252,10.89082145690918,15.303704261779785,8.43422794342041,15.065314292907715,9.028700828552246,6.749617576599121,5.925848007202148,7.879840850830078,-596.2088012695312,-8.978538513183594,-68.97277069091797,-51.30187225341797,-36.39850616455078,-36.9725341796875,-54.913299560546875,-23.24091339111328,-48.86228942871094,-26.03023910522461,-17.89440155029297,-21.729461669921875,-28.675792694091797,-139.68096923828125,186.96693420410156,86.27799987792969,63.71101760864258,34.63251876831055,29.792926788330078,29.53746795654297,30.023757934570312,7.630815029144287,27.356689453125,25.422828674316406,11.956035614013672,19.832881927490234,4364.629163240132,2588.3717036816342,1087.4267578125,10249.8046875,0.028653867542743683,0.04569557309150696,1.3846063211531145e-06,0.16125725209712982,0.11115679824561403,0.14573302175930644,0.0302734375,0.73095703125,2194.032954072856,1642.1592938181066,848.1212578110267,7737.568317663899,2358.801088459607,667.1083158683032,1203.3565400993004,4433.846560202785,0.37259483337402344,0.5761059522628784,0.6679874658584595,0.5926329493522644,0.40827175974845886,0.4056090712547302,0.4105788767337799,0.5335569381713867,0.4454282820224762,0.39325958490371704,0.4257354140281677,0.553743302822113,0.2272462248802185,0.3208547532558441,0.38858500123023987,0.31107091903686523,0.23540128767490387,0.2988927364349365,0.30175796151161194,0.34966397285461426,0.2537400722503662,0.2598639130592346,0.23863059282302856,0.34178388118743896,0.006099696736782789,0.003956029657274485,0.0033180508762598038,0.0011366858379915357,0.0019442145712673664,0.0027034515514969826,0.0011792395962402225,0.0006224275566637516,0.0015353095950558782,0.002267720876261592,0.00744153605774045,0.010790223255753517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6240362811791385,22050.0
denise,audio_de1,pitch_shift_up,-428.2936096191406,98.11461639404297,21.381155014038086,2.650693893432617,8.67221450805664,1.7246854305267334,4.725713729858398,-1.0297354459762573,-10.212900161743164,7.931875228881836,-3.8149614334106445,1.4469237327575684,0.10217592865228653,115.99803924560547,36.49021530151367,36.91371536254883,26.57686996459961,11.046808242797852,14.562002182006836,10.938254356384277,8.56899356842041,13.231111526489258,9.112516403198242,8.366475105285645,5.403578758239746,9.314233779907227,-620.7745971679688,0.0,-76.19252014160156,-57.33985900878906,-23.09844207763672,-47.95155334472656,-29.178592681884766,-30.707725524902344,-46.43281555175781,-9.029121398925781,-30.40945053100586,-9.073415756225586,-29.044307708740234,-175.2624053955078,189.70257568359375,78.14447021484375,51.285606384277344,36.29881286621094,41.097537994384766,19.020875930786133,15.473583221435547,5.460391044616699,32.73884963989258,10.315229415893555,15.918405532836914,17.373916625976562,4212.196751644737,2474.635058214989,1227.392578125,10260.5712890625,0.020384179428219795,0.03133711218833923,1.0005509466282092e-05,0.1212444081902504,0.10603841145833333,0.13872743823573713,0.0263671875,0.712890625,2107.421326812209,1480.0675510303947,836.7501251003373,7661.476956830893,2358.671442413809,610.6572955571191,1044.876007057724,3931.8959704838026,0.2783040702342987,0.453034371137619,0.2882072925567627,0.3683752715587616,0.6856681704521179,0.44344818592071533,0.2712070345878601,0.276021271944046,0.26030802726745605,0.3656221628189087,0.3340257704257965,0.3175806701183319,0.19725535809993744,0.29417935013771057,0.22738365828990936,0.21004627645015717,0.41880401968955994,0.25933974981307983,0.19992020726203918,0.2191665768623352,0.22609247267246246,0.27186843752861023,0.23660340905189514,0.29307177662849426,0.021821284666657448,0.0157377477735281,0.006431014742702246,0.006245574913918972,0.004692144691944122,0.0010437072487547994,0.0014838363276794553,0.0021165823563933372,0.001762594562023878,0.0004348903021309525,0.0013218012172728777,0.006349967792630196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9138591885566711,1.0,1.0,1.0,1.0,2.6240362811791385,22050.0
denise,audio_de1,pitch_shift_down,-438.5107727050781,103.20135498046875,26.15404510498047,10.510986328125,3.4590840339660645,9.564987182617188,-3.587047815322876,14.725702285766602,-10.905513763427734,-1.340322494506836,1.4588226079940796,1.1268800497055054,-1.8640204668045044,113.89408874511719,41.632720947265625,32.0386962890625,26.001768112182617,16.20406150817871,10.664043426513672,20.75446319580078,8.402161598205566,12.393092155456543,10.401281356811523,8.657856941223145,8.028657913208008,7.905855655670166,-630.48681640625,-1.2597769498825073,-65.33140563964844,-45.94774627685547,-54.16694259643555,-16.86054229736328,-56.5979118347168,0.0,-43.32666015625,-34.917503356933594,-24.0653018951416,-16.516353607177734,-25.201007843017578,-194.5919647216797,196.28335571289062,72.27967834472656,72.47185516357422,22.20524787902832,33.964900970458984,31.180015563964844,37.354820251464844,8.243114471435547,16.202617645263672,18.686540603637695,26.04532241821289,16.640125274658203,3730.1552220394738,2278.164784599467,1012.060546875,9033.1787109375,0.01914347894489765,0.02861633151769638,5.236916877038311e-06,0.11086829751729965,0.0981530975877193,0.13604655186842143,0.0244140625,0.65771484375,1860.8546164373022,1402.0961625056798,715.2735164652877,6709.591322165238,2064.939109111585,584.1195230019832,1018.9464716665334,3840.0870148842114,0.6949359774589539,0.4664655327796936,0.3753902018070221,0.3182639181613922,0.36378633975982666,0.4015728533267975,0.39315474033355713,0.3278634548187256,0.45790478587150574,0.48449841141700745,0.42780381441116333,0.5809595584869385,0.3994429111480713,0.24906662106513977,0.22664989531040192,0.257513165473938,0.28764334321022034,0.2543528974056244,0.28158146142959595,0.22407758235931396,0.28444042801856995,0.3111201822757721,0.22637130320072174,0.3226749300956726,0.004510700237005949,0.002309812232851982,0.0029006940312683582,0.0034973828587681055,0.002738390350714326,0.0009104377240873873,0.00645821588113904,0.005814160220324993,0.024225061759352684,0.012969184666872025,0.018628669902682304,0.008507614955306053,1.0,1.0,1.0,0.9009882807731628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6240362811791385,22050.0
denise,audio_de2,original,-395.07037353515625,113.67222595214844,13.391804695129395,5.562083721160889,9.040485382080078,0.7423498034477234,-0.0026441558729857206,6.7168707847595215,-12.956157684326172,7.548560619354248,-0.5402505397796631,-5.26627779006958,0.8775992393493652,130.27328491210938,42.982078552246094,33.16630935668945,31.627260208129883,10.56536865234375,7.120656490325928,15.091352462768555,8.049287796020508,11.560178756713867,6.141659259796143,6.775919437408447,7.139021396636963,6.966119289398193,-659.6083374023438,-13.971450805664062,-84.04937744140625,-63.65716552734375,-24.541549682617188,-26.18089485168457,-38.0119514465332,-13.809671401977539,-44.692237854003906,-7.285244941711426,-22.977642059326172,-30.560209274291992,-19.56805419921875,-185.00039672851562,194.52008056640625,89.18011474609375,39.81421661376953,37.35139465332031,17.14983367919922,26.846878051757812,35.35923767089844,6.763707637786865,24.642324447631836,18.804758071899414,9.385187149047852,11.987340927124023,4012.9976712740386,2345.1367117698783,925.927734375,9528.4423828125,0.027970850467681885,0.036935534328222275,1.15394698241289e-06,0.13995124399662018,0.10432108039529915,0.09769255794230064,0.029296875,0.4365234375,1945.986469194427,1185.326956807437,796.1886993702722,6457.231699578708,2295.6027281049414,588.872311058374,1283.9102322536557,3718.1734746309503,0.45425689220428467,0.5813078880310059,0.5473870038986206,0.4064347445964813,0.5362099409103394,0.41896337270736694,0.47686415910720825,0.4908476173877716,0.44111934304237366,0.45978471636772156,0.6141448020935059,0.4217725992202759,0.30941811203956604,0.3792610168457031,0.3460473120212555,0.2669845223426819,0.2768673002719879,0.26148921251296997,0.295023113489151,0.2793889045715332,0.2660997807979584,0.2906937599182129,0.3350760340690613,0.27665120363235474,0.0012052078964188695,0.0024324902333319187,0.0017905918648466468,0.007099626120179892,0.002956937300041318,0.002357426332309842,0.0005511732306331396,0.00032662853482179344,0.000511844817083329,0.001550686894915998,0.00424922863021493,0.003252602182328701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.709342403628118,22050.0
denise,audio_de2,pitch_shift_up,-416.4229736328125,111.52550506591797,8.839422225952148,0.7949633598327637,8.279281616210938,-2.896329164505005,3.557504415512085,-1.321561574935913,-9.488439559936523,9.653082847595215,-10.23465347290039,-1.9826451539993286,-1.52178156375885,131.1957550048828,35.96999740600586,37.93840408325195,29.911474227905273,10.657299041748047,12.111802101135254,12.179420471191406,6.034778594970703,11.001934051513672,7.653075695037842,9.97793960571289,6.691035270690918,9.678467750549316,-673.4934692382812,-7.174856185913086,-103.7144775390625,-64.22147369384766,-15.152338027954102,-35.58925247192383,-32.921875,-16.36542320251465,-38.974281311035156,-4.146953582763672,-36.938232421875,-24.67759895324707,-34.46744155883789,-200.72804260253906,178.85015869140625,64.95553588867188,34.27499771118164,38.889122009277344,29.056560516357422,19.770217895507812,21.527963638305664,8.912477493286133,26.43033790588379,8.88963508605957,9.490964889526367,13.401662826538086,4050.818810096154,2062.822210970781,1431.9580078125,9765.3076171875,0.020358754321932793,0.027238983660936356,2.4238483092631213e-05,0.09993921965360641,0.09229350293803419,0.08278364631222147,0.02734375,0.3955078125,1917.5812414852312,948.040632139636,1054.2135547383114,5499.832520290471,2338.0114569761863,550.9422063652019,1408.5322543156792,3946.0757558036476,0.3574267625808716,0.383114218711853,0.3061503767967224,0.38769108057022095,0.6052944660186768,0.3883076012134552,0.3196474015712738,0.4182645380496979,0.3254021108150482,0.4056749939918518,0.39209386706352234,0.3491114377975464,0.29395490884780884,0.2501051127910614,0.2432955503463745,0.2795179784297943,0.4083619713783264,0.23874720931053162,0.22145026922225952,0.27112630009651184,0.25118592381477356,0.273513525724411,0.28998151421546936,0.2688846290111542,0.00268925609998405,0.003843217622488737,0.0018249525455757976,0.0011954696383327246,0.0035804323852062225,0.0043389149941504,0.014145789667963982,0.005896321497857571,0.0032247041817754507,0.0011157914996147156,0.000858587387483567,0.0012636053143069148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.709342403628118,22050.0
